date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:04	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Mar%202022%2015:47:03%20GMT	https://web.archive.org/robots.txt		(from )
21:17:07	33557/33557	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2015:47:04%20GMT	https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/	E:/Gokul/Test%201/web.archive.org/web/20201203095832/https_/adeolaadeoti.netlify.app/index.html	(from )
21:17:11	15062/15062	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22619d5647-3ad6%22	http://archive.org/includes/analytics.js?v=cf34f82	E:/Gokul/Test%201/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:11	28612/28612	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Mar%202022%2022:25:30%20GMT	https://web.archive.org/_static/js/bundle-playback.js?v=poeZ53Bz	E:/Gokul/Test%201/web.archive.org/_static/js/bundle-playback6a98.js	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:12	121848/121848	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Mar%202022%2022:21:43%20GMT	https://web.archive.org/_static/js/wombat.js?v=UHAOicsW	E:/Gokul/Test%201/web.archive.org/_static/js/wombat92fe.js	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:13	9691/9691	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Mar%202022%2022:23:00%20GMT	https://web.archive.org/_static/css/banner-styles.css?v=fantwOh2	E:/Gokul/Test%201/web.archive.org/_static/css/banner-styles4926.css	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:13	5825/5825	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Mar%202022%2022:15:42%20GMT	https://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	E:/Gokul/Test%201/web.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2012%20Mar%202022%2015:47:14%20GMT	https://web.archive.org/web/20201203095832im_/https://adeolaadeoti.netlify.app/favicon.ac120b51.png	E:/Gokul/Test%201/web.archive.org/web/20201203095832im_/https_/adeolaadeoti.netlify.app/favicon.ac120b51.png	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:15	832/832	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Mar%202022%2015:47:14%20GMT	https://web.archive.org/web/20200801182938im_/https://adeolaadeoti.netlify.app/favicon.ac120b51.png	E:/Gokul/Test%201/web.archive.org/web/20200801182938im_/https_/adeolaadeoti.netlify.app/favicon.ac120b51.png	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
21:17:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2012%20Mar%202022%2015:47:15%20GMT	https://web.archive.org/web/20201203095832cs_/https://adeolaadeoti.netlify.app/src.ab891ce8.css	E:/Gokul/Test%201/web.archive.org/web/20201203095832cs_/https_/adeolaadeoti.netlify.app/src.ab891ce8.css	(from https://web.archive.org/web/20201203095832/https://adeolaadeoti.netlify.app/)
